GEOID,TotalCivilianEmployedPopulation,ManagementBusinessScienceAndArts ,Service,SalesAndOffice,Natural resourcesConstructionAndMaintenance,ProductionTransportationAndMaterialMoving
0500000US27139,79557,33571,11470,19264,5249,10003
0500000US27141,49747,16679,7283,11992,4638,9155
0500000US27145,84994,27929,16014,20344,6788,13919
0500000US27163,136095,60857,20157,33196,8769,13116
0500000US27171,70504,25066,9713,16327,7968,11430
0500000US28033,85311,28055,12535,21092,8825,14804
0500000US28035,33697,11734,7974,6798,2860,4331
0500000US28047,86029,25962,22078,18581,11006,8402
0500000US28049,107153,33999,25004,25934,8429,13787
0500000US28059,63689,20021,11404,13479,7837,10948
0500000US28067,26933,8262,4444,6628,3037,4562
0500000US28075,29586,10900,4208,7130,3195,4153
0500000US28081,37885,11170,7010,9937,2800,6968
0500000US28089,51669,24140,5743,12166,2853,6767
0500000US28121,73312,27569,12932,18349,6366,8096
0500000US29019,91624,41160,15502,20720,7294,6948
0500000US29021,40299,12638,7838,7922,3107,8794
0500000US29031,35746,12526,7528,7747,4177,3768
0500000US29037,51889,16072,8623,12970,6012,8212
0500000US29043,40431,13798,6572,10850,4063,5148
0500000US29047,126727,46840,20092,34635,8285,16875
0500000US29051,38027,14037,6041,10393,3045,4511
0500000US29071,50265,15460,7460,12170,6063,9112
0500000US29077,138300,47085,25821,38727,11434,15233
0500000US29095,346157,128025,58969,85056,28277,45830
0500000US29097,55577,16074,9178,15348,5754,9223
0500000US29099,110804,35645,18454,27578,13350,15777
0500000US29165,53342,23755,8409,13211,2584,5383
0500000US29183,211510,91865,32099,52278,15137,20131
0500000US29187,26281,6315,6492,4943,2124,6407
0500000US29189,498932,216614,83820,127360,24021,47117
0500000US29510,155937,61817,36915,33190,8105,15910
0500000US30013,35768,12454,7328,9220,4272,2494
0500000US30029,46142,17161,10046,10524,4909,3502
0500000US30031,60451,24837,11440,12462,5589,6123
0500000US30049,34286,15695,5198,8170,2176,3047
0500000US30063,63775,23638,15336,13884,5521,5396
0500000US30111,80450,25994,15435,18469,11174,9378
0500000US31055,285058,116624,44909,70634,20942,31949
0500000US31109,171117,67597,30550,43432,12105,17433
0500000US36045,44689,12482,10775,10827,4857,5748
0500000US36047,1236979,508631,281704,266596,75022,105026
0500000US36051,29233,9914,5803,5243,3313,4960
0500000US36053,35106,12685,6771,7273,3574,4803
0500000US36055,367383,159922,65044,85288,19298,37831
0500000US36059,681418,306119,109671,173135,44913,47580
0500000US36061,903214,542296,127576,182235,17858,33249
0500000US36063,101276,34536,17515,25840,10609,12776
0500000US36065,101094,35337,23124,22437,8349,11847
0500000US36067,225489,93503,38888,57679,14727,20692
0500000US36069,54386,22546,9103,12522,4439,5776
0500000US36071,177496,64063,33212,46286,14261,19674
0500000US36075,52147,15559,9725,11398,6925,8540
0500000US36079,49341,22859,8557,8883,5358,3684
0500000US36081,1153909,389963,280103,268137,94442,121264
0500000US36083,82004,33824,13463,19734,6501,8482
0500000US36085,210209,84674,40031,48937,19420,17147
0500000US36087,146915,66950,25906,34209,9802,10048
0500000US36089,41483,14438,8818,8582,4972,4673
0500000US36091,118529,51989,17339,29628,9502,10071
0500000US36093,74237,27149,14996,19951,3633,8508
0500000US36101,43835,14916,9308,8629,4394,6588
0500000US36103,746250,286795,126827,194132,69014,69482
0500000US36105,33100,10222,7918,5885,3822,5253
0500000US36109,52057,27021,8934,9999,3430,2673
0500000US36111,85911,34840,16099,19739,7690,7543
0500000US36113,32829,11112,6638,8437,3397,3245
0500000US36117,45535,14692,6566,11578,4951,7748
0500000US36119,477221,221020,89164,101457,38921,26659
0500000US37001,77306,27621,12263,17467,7583,12372
0500000US37019,45894,12747,9766,12707,6541,4133
0500000US37021,123896,45663,23205,31544,9515,13969
0500000US37023,36946,8938,8968,7253,3359,8428
0500000US37025,99250,39224,15215,23074,9586,12151
0500000US37027,34877,8360,5528,8139,3394,9456
0500000US37031,28636,9353,5269,6999,3780,3235
0500000US37035,72909,22190,12727,17238,4719,16035
0500000US37037,29658,12736,5322,5815,2177,3608
0500000US37045,40020,12850,6298,9880,3679,7313
0500000US37049,40404,13203,7761,9159,4377,5904
0500000US37051,125595,43420,26882,30800,9495,14998
0500000US37057,74738,20141,11962,19719,6466,16450
0500000US37063,159842,74713,26727,32326,12751,13325
0500000US37067,170666,68333,29701,39159,12563,20910
0500000US37071,100168,31424,17162,24706,10051,16825
0500000US37081,246636,94864,39253,63194,17088,32237
0500000US37085,53524,19748,8240,12435,6527,6574
0500000US37089,52367,18049,8763,12166,6100,7289
0500000US37097,83249,28452,12769,19148,6529,16351
0500000US37101,90515,31019,14757,23596,12294,8849
0500000US31153,94516,39374,14885,23058,8372,8827
0500000US32003,1009215,280761,287598,261584,82839,96433
0500000US32031,227854,75950,49423,55367,19362,27752
0500000US33005,38449,15076,7688,6699,4422,4564
0500000US33009,45142,19206,8646,9504,3173,4613
0500000US33011,225087,93590,34677,55124,15418,26278
0500000US33013,76660,31325,12811,18256,6867,7401
